"standard_azul_11","exitable_azul_11","exitable_zing_17","standard_zing_17","exitable_temurin_17","standard_temurin_17"
185307460,193873489,164024574,161055722,177494061,173490424
185377942,194182443,164709699,161528105,176927231,173631551
185456531,200355610,165336624,160351317,177549987,175289895
196150325,207457201,164873829,161644245,177210956,174651880
198748417,208926568,163571500,159723887,177361962,174926538
198429686,207438796,165410913,161353424,176629509,175278524
198552487,207258876,165345090,160546795,176771786,174767368
198269131,208478140,164879369,160348841,176265902,174790491
198236499,207455417,165027349,161381557,176248588,174697186
198054735,207317738,164329241,160587052,176366852,174266731
198169853,207037157,163688511,160747746,175411728,174027369
198211071,210978977,167374553,160572913,175462214,174510582
197690427,208302529,167465654,160567274,175712737,174498279
198149735,207168725,167038849,161449274,177031247,174603388
198369030,207560236,165110567,160860519,176655718,173057846
199042353,207894177,166016869,161695651,175645209,174145352
197782391,204537493,167634585,160270851,175930889,174091631
192667081,197791324,173078596,162369296,176001222,173613276
188467833,200508880,171213444,162842161,175869183,173073766
190956598,195377612,172260091,162218090,178017811,172801010
187439308,195598149,171093708,164203660,177979398,172943110
186936047,195064751,171714571,162342174,178775943,173153467
187408159,194529318,170858895,167719198,177364947,173783958
185828033,194351443,259757949,165801475,177885110,174151193
185524940,194492639,228864374,167911843,177191560,173011388
185728033,194399142,167960342,206166914,178182793,173833152
186209924,209079598,168235591,274305269,176596717,175044703
196165243,207456711,164922624,163662132,177713095,174131595
198274551,206951446,164283477,161210007,179314230,175107621
198348470,206938080,164909139,160966025,177099497,174975150
198336098,206741699,163827115,160893297,176498382,175155200
198623861,206947017,164901925,162665754,177274687,174945434
198018747,207037197,164617989,161525455,176209166,175019414
198015341,207374065,164577733,162096365,176581449,174104064
197663125,215257864,164996814,160849654,175676209,174461519
198173670,206750986,163338012,161634640,176414524,174500302
198425997,209837930,163523201,160800921,175209047,174094696
197716054,206898245,165508892,161858604,175433280,174169617
197719612,206898856,164153533,160764953,175572944,173529658
198053573,207773278,164362678,160920577,175831052,174317918
198033475,337236871,165016612,161175058,176112764,173930606
194694773,336601310,164815603,161739828,177090791,174084787
188212730,274367074,164649209,160828061,176650389,172861965
190116960,195576248,163606871,161764544,177778150,173417025
186926338,195067707,164908799,160774911,177692908,173591104
187261162,195185469,164988830,162131570,180373350,173243938
186456810,193887436,164948374,160794335,177557563,173607965
185377100,194170461,164892529,160886200,176608911,174195888
186047477,200627414,163919591,160917268,177276752,173284054
185768139,194852320,164351739,161602427,177152969,173831539
185521163,202239140,163553170,160509646,176543859,174554235
196333160,207822282,165020361,161330331,176949014,175161382
198685167,207611073,163499809,160036379,176934716,175985259
197968011,207474705,165031401,160262878,176424573,175751999
198545011,206744374,165197926,161510731,176457645,174485465
198008147,207209153,164971179,160703893,176755940,174788167
198511478,212862276,163890388,161966405,176413722,176119193
198532107,206737061,164655271,160787131,176250786,175161492
198207845,206668161,164037235,161900448,178056625,174196308
198621546,211159859,164340898,159832832,175841473,174241643
198073310,208160752,163353473,161829274,175180013,173794148
198216060,206541821,165102968,160521747,175727588,174507436
200450663,206916540,163942386,161935174,176677732,174485394
198308385,206678400,163294562,161457119,176096715,173442482
199424234,208007121,165253171,161575754,176135958,174032588
192555489,197415373,166262749,161966932,177022964,173861886
189334851,289320034,165802769,160905983,183515206,172962977
190967728,314609338,164530667,159873628,268499687,172718223
187870994,269792229,164862835,160832594,177938173,173556178
186948059,195383333,166907998,162029121,178380929,172874429
186712805,193591257,166545342,160834417,177502029,173369345
185565165,198848272,166287025,160634327,177599584,173438595
186009384,194437055,165004172,161131529,178634107,173732091
185764432,194440661,166238304,162449445,177415996,173703406
185645547,202046636,168079400,160826802,177007225,174005236
196765266,207099376,171136254,162566847,183962460,174527343
199059374,206478543,171839943,161400368,177278527,175755736
198873442,207257835,171870230,162638292,177068692,175024353
198336707,207672929,171589801,163406778,177100822,176671526
198420736,212343707,174663276,163640359,176244704,175252484
198242519,206954111,171797563,167078823,176449732,174797213
198313283,206703267,247023067,168065021,176966749,175239328
198711086,207932480,241555270,167423075,176412802,175465928
198180031,207046847,167580299,168659335,175132795,174476748
197852772,206709950,167831033,313485869,181842838,174256461
206630776,206695773,164078505,166848485,176287916,175209904
198549008,207118131,164884026,160550326,176228645,173988705
198327961,212709368,165617883,161472452,175547738,180930537
214311785,203084358,164063828,159763174,177242910,174342535
292680160,196890041,165618725,162321409,176083732,173730006
188691715,200339841,165143357,160368170,175819973,173846707
190185008,195391680,164094867,161756069,193692187,174454215
189099516,243528403,165171800,160420028,297504987,174719446
194005460,313234781,163951997,160416832,302179576,173454194
186100346,318236533,165027608,161774824,191055407,174092782
184960190,264476703,164956174,159778561,176880096,173599829
185513196,194479095,164326896,162061195,177432990,179821670
185914785,193986965,167177050,160381634,177237311,173837358
185618265,201839575,164508168,161465036,177626085,174950763
195781728,206406497,164695863,160798092,176924800,283617967
198636935,206728806,165431292,161035111,176872892,248392634
198054663,207514350,165511603,160643408,183869847,175077644
205408305,211784059,163784733,161447501,177006265,174626540
199230476,206630270,164228992,160628319,175850171,174530589
197889281,207017711,165181500,161629897,176084172,174900829
197762221,212650608,164626052,160571022,176476835,182551981
198414713,206785543,165197902,161536359,176062583,174838220
198077858,206889299,164040536,160779205,176202036,174626421
198530764,207065623,165267814,160942895,175819783,174057355
198480008,206641851,164278285,160697809,176492404,174587186
204495629,212528837,164577019,161747068,181248345,173467720
198040337,207110467,166673990,160373146,175901949,174324841
197960977,202013194,165643103,161585882,176366506,174189043
261448700,195507569,164828724,159875902,175899043,174074296
324936114,200836079,163981125,160996585,176544452,179368935
315760218,196029135,166381548,161529986,177532920,173661746
187529417,195018725,163538949,160391038,177139486,173081711
192886805,194642945,166212358,161377366,178131320,173236012
185730636,199121909,164448928,160504833,283631828,172841135
184887784,246507684,166345260,161544021,301579585,173307909
186130412,313420893,164152919,159303868,218106838,173834413
185663710,290567993,164808567,161558479,177202816,173636949
185606132,202373616,164197734,160470347,176847186,173825316
196287753,207100278,165726542,161590689,177136932,180863650
197869853,207667700,164131179,160645067,177011305,198787169
204042522,214608627,164560960,160233408,179203285,293428129
198899711,206601296,165971325,160703597,176433924,292338310
198266443,206944032,167090217,160438295,182219250,182679803
198347426,207280880,167850574,162006846,176350327,175322486
198287474,207467041,167721640,161069922,176035101,174993194
197751000,206472011,166999887,161692811,175621560,174169817
